,mse,psnr,ssim,quality,file_size_bits,bpp,width,heigth,CR
0,30.618301391601562,33.270992671482716,0.9394240300031549,20,33064,0.5045166015625,256,256,7.6820711347689326
1,28.949783325195312,33.51435043271612,0.9404362225870709,21,33968,0.518310546875,256,256,7.477626000942063
2,27.8399658203125,33.68411663121152,0.9416199051391356,22,34736,0.530029296875,256,256,7.31229847996315
3,26.316680908203125,33.92849246220371,0.9447858258341444,23,35408,0.540283203125,256,256,7.1735201084500675
4,25.208343505859375,34.1153605267266,0.9468166133259884,24,36000,0.54931640625,256,256,7.055555555555555
5,24.236190795898438,34.28615998109613,0.9482341529653597,25,36744,0.5606689453125,256,256,6.912693228826475
6,23.248626708984375,34.466830565591316,0.9497102164335106,26,37440,0.5712890625,256,256,6.784188034188034
7,22.405685424804688,34.62722126671194,0.9515427846711728,27,38096,0.581298828125,256,256,6.667366652666947
8,21.333770751953125,34.840127369218735,0.9535693006333371,28,38888,0.5933837890625,256,256,6.531577864636906
9,20.660537719726562,34.979387404088456,0.9545413060669561,29,39280,0.599365234375,256,256,6.4663951120162935
10,19.884017944335938,35.14576214471631,0.9558657634651886,30,40048,0.611083984375,256,256,6.342389133040352
11,19.132064819335938,35.31318517278049,0.9574445980914915,31,40656,0.620361328125,256,256,6.247540338449429
12,18.65655517578125,35.42248904000889,0.9567374771199719,32,41336,0.6307373046875,256,256,6.144764853880395
13,17.79534912109375,35.62773848164055,0.9598089091709139,33,42032,0.641357421875,256,256,6.043014845831747
14,17.3836669921875,35.72938966977935,0.9603969597645604,34,42512,0.648681640625,256,256,5.974783590515619
15,16.796234130859375,35.87868441018252,0.960390540802076,35,43360,0.66162109375,256,256,5.857933579335794
16,16.172164916992188,36.04312199429716,0.9615439832429008,36,44000,0.67138671875,256,256,5.7727272727272725
17,15.847152709960938,36.131291178746146,0.9620603547279408,37,44288,0.67578125,256,256,5.735187861271676
18,15.25262451171875,36.29735781913751,0.963175241441243,38,45176,0.6893310546875,256,256,5.622454400566673
19,14.854141235351562,36.41232811933126,0.9642871036021851,39,45696,0.697265625,256,256,5.5584733893557425
20,14.622940063476562,36.48045660956416,0.9646365678826612,40,45912,0.7005615234375,256,256,5.532322704303886
21,14.02337646484375,36.66227767814824,0.9658701566201835,41,46848,0.71484375,256,256,5.421789617486339
22,13.829513549804688,36.72273456705893,0.9663925888614385,42,47176,0.7198486328125,256,256,5.384093606918772
23,13.46441650390625,36.83892823367283,0.9669243771769712,43,47584,0.72607421875,256,256,5.337928715534633
24,13.0810546875,36.964375995634946,0.9675635570494495,44,48432,0.739013671875,256,256,5.244466468450611
25,12.856719970703125,37.03950176130328,0.9680011412622659,45,48920,0.7464599609375,256,256,5.192150449713819
26,12.411727905273438,37.192481146239714,0.9690627885381611,46,49576,0.7564697265625,256,256,5.12344682911086
27,12.15234375,37.28420315071057,0.9694472065085818,47,49800,0.7598876953125,256,256,5.100401606425703
28,11.960922241210938,37.353156938553695,0.969826563598731,48,50576,0.771728515625,256,256,5.022144890857324
29,11.5506591796875,37.50473591364252,0.9706572974547898,49,51408,0.784423828125,256,256,4.940865234982882
30,11.441162109375,37.54610221720667,0.9708119702801449,50,51512,0.7860107421875,256,256,4.930889889734431
31,11.318313598632812,37.592986380234194,0.9708716804710238,51,51640,0.7879638671875,256,256,4.918667699457784
32,10.934768676757812,37.74270760825781,0.9717278200071566,52,52624,0.802978515625,256,256,4.826695044086349
33,10.737075805664062,37.82194341551167,0.9723920784599859,53,53264,0.812744140625,256,256,4.768699309101833
34,10.509902954101562,37.91481654991216,0.9727034210667969,54,53504,0.81640625,256,256,4.747308612440191
35,10.2860107421875,38.0083338732749,0.9732647579195932,55,53976,0.8236083984375,256,256,4.705795168222914
36,10.0098876953125,38.12651155874074,0.9736326077075035,56,54560,0.83251953125,256,256,4.655425219941349
37,9.78179931640625,38.22661612285674,0.9739713934423191,57,55384,0.8450927734375,256,256,4.586162068467427
38,9.549285888671875,38.3310946532659,0.9744806863115787,58,56472,0.8616943359375,256,256,4.497804221561128
39,9.364898681640625,38.41577277741002,0.9749234623798664,59,56928,0.86865234375,256,256,4.461776278808319
40,9.137649536132812,38.52245863686023,0.9753322220712224,60,57448,0.8765869140625,256,256,4.42138977858237
41,8.8355712890625,38.66845725568852,0.976010014511555,61,58384,0.890869140625,256,256,4.350506988215949
42,8.604248046875,38.78367438948362,0.9764859004686942,62,58984,0.9000244140625,256,256,4.306252543062525
43,8.3863525390625,38.895072458779445,0.9770878688233556,63,59960,0.9149169921875,256,256,4.236157438292195
44,8.18707275390625,38.9995171113065,0.9775688740130524,64,60432,0.922119140625,256,256,4.203071220545406
45,7.89703369140625,39.15616370004321,0.9783132129686984,65,61728,0.94189453125,256,256,4.114826334888543
46,7.6624298095703125,39.28713851606484,0.9787944237301083,66,62200,0.9490966796875,256,256,4.083601286173633
47,7.4299774169921875,39.42092867119526,0.9793416114055815,67,63088,0.962646484375,256,256,4.026122241947755
48,7.1508636474609375,39.58721863867438,0.9800261797349556,68,64664,0.9866943359375,256,256,3.927997030805394
49,6.94561767578125,39.713694871434285,0.9803942835689585,69,65536,1.0,256,256,3.875732421875
50,6.64306640625,39.907117670559266,0.9811433050876147,70,66840,1.0198974609375,256,256,3.8001196888090965
51,6.4038543701171875,40.066389137876754,0.9815596542280651,71,67888,1.035888671875,256,256,3.741456516615602
52,6.1480560302734375,40.243425440818925,0.9820470421790342,72,68792,1.0496826171875,256,256,3.692289801139667
53,5.9549713134765625,40.38200687144637,0.9824805061664619,73,70448,1.074951171875,256,256,3.605496252555076
54,5.6079254150390625,40.64278131952884,0.9834491778055185,74,72408,1.1048583984375,256,256,3.507899679593415
55,5.4752349853515625,40.74677597967346,0.9835850625943884,75,72672,1.10888671875,256,256,3.4951563188022896
56,5.201690673828125,40.96935838199098,0.984137842543202,76,73952,1.12841796875,256,256,3.434660320207702
57,4.8838653564453125,41.243166785186666,0.984932721252593,77,76424,1.1661376953125,256,256,3.3235632785512403
58,4.678802490234375,41.429456484844074,0.9855326049565947,78,78248,1.1939697265625,256,256,3.2460893569164706
59,4.4620513916015625,41.63545792911924,0.985998137054204,79,79480,1.2127685546875,256,256,3.1957725213890287
60,4.239837646484375,41.85731134130347,0.9866066591438416,80,81192,1.2388916015625,256,256,3.1283870332052417
61,3.9642791748046875,42.14916129835727,0.9873535925449209,81,83792,1.278564453125,256,256,3.0313156387244606
62,3.76519775390625,42.37292569926183,0.9877524398632233,82,85448,1.3038330078125,256,256,2.9725681116000375
63,3.493560791015625,42.69812056107681,0.9886133207708204,83,89128,1.3599853515625,256,256,2.8498339466834217
64,3.28363037109375,42.967260969604204,0.9891024384396877,84,91368,1.3941650390625,256,256,2.7799667279572717
65,3.084075927734375,43.23955299339137,0.9894516863375806,85,93432,1.4256591796875,256,256,2.7185546707766077
66,2.8303070068359375,43.61246814338961,0.9902976448499093,86,97664,1.490234375,256,256,2.600753604193971
67,2.647674560546875,43.902157582137434,0.9906597524512412,87,99976,1.5255126953125,256,256,2.5406097463391215
68,2.3902587890625,44.34635437084027,0.991368463992627,88,104840,1.5997314453125,256,256,2.4227394124380006
69,2.1733856201171875,44.75943571578711,0.9919272510787385,89,108256,1.65185546875,256,256,2.3462902749039314
70,1.9200286865234375,45.29772643463441,0.9926942272344412,90,114816,1.751953125,256,256,2.2122352285395763
71,1.6949310302734375,45.83928330176054,0.9932853368535608,91,119528,1.8238525390625,256,256,2.1250250987216384
72,1.493743896484375,46.388042171220214,0.9938037299107425,92,123880,1.8902587890625,256,256,2.050371327090733
73,1.274261474609375,47.07821807807011,0.9945038797842785,93,133928,2.0435791015625,256,256,1.8965414252434143
74,1.07232666015625,47.827532573275064,0.9950911224064605,94,145448,2.2193603515625,256,256,1.7463285847863155
75,0.8784332275390625,48.693716058657934,0.9957245289075396,95,158904,2.4246826171875,256,256,1.5984493782409506
