,net.0.linear,net.1.linear,net.2.linear,net.3.linear,net.4.linear,net.5.linear,net.6,mse,psnr,ssim,weights,bpp,compression,file_size_bits,CR
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86e-05,49.1567493,0.9955182,20672.0,10.09375,agp-siren-0,661504.0,0.3839734907120743
1,0.0,25.0,34.99,34.99,45.0,54.98,0.0,4.86e-05,45.8150705,0.9955182,12686.438400000001,6.1945500000000004,agp-siren-39,405966.02880000003,0.6256681150164257
2,0.0,25.0,34.99,34.99,50.0,50.0,0.0,0.0001186,45.284305,0.988715,12685.6192,6.19415,agp-siren-39,405939.8144,0.6257085188242132
3,0.0,34.99,29.98,25.0,25.0,50.0,0.0,0.0001328,44.7893062,0.9903565,13914.8288,6.79435,agp-siren-33,445274.5216,0.5704346143302892
4,0.0,25.0,34.99,54.98,25.0,25.0,0.0,0.0001222,45.1532484,0.9900753,13914.8288,6.79435,agp-siren-33,445274.5216,0.5704346143302892
5,0.0,34.99,29.98,29.98,29.98,34.99,0.0,0.0001149,45.4187365,0.9906257,14121.676799999997,6.895349999999999,agp-siren-32,451893.6575999999,0.5620791434626234
6,0.0,25.0,29.98,29.98,29.98,50.0,0.0,0.0001619,43.9301892,0.9898887,13916.0576,6.79495,agp-siren-33,445313.8432,0.5703842444572808
