,timestamp,hf,hl,seed,gpu,image_name,heigth,width,cropped_heigth,cropped_width,is_cropped,lr,epochs,date,root_path,path
45,1603583765-067812,55,4,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.4.arch_no_3.trial_no_0.pth
46,1603583765-067812,55,4,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.4.arch_no_4.trial_no_0.pth
47,1603583765-067812,55,4,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.4.arch_no_5.trial_no_0.pth
48,1603583765-067812,55,5,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.5.arch_no_6.trial_no_0.pth
49,1603583765-067812,55,5,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.5.arch_no_7.trial_no_0.pth
50,1603583765-067812,55,5,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.5.arch_no_8.trial_no_0.pth
51,1603583765-067812,55,6,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.6.arch_no_9.trial_no_0.pth
52,1603583765-067812,55,6,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.6.arch_no_10.trial_no_0.pth
53,1603583765-067812,55,6,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.6.arch_no_11.trial_no_0.pth
54,1603583765-067812,55,7,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.7.arch_no_12.trial_no_0.pth
55,1603583765-067812,55,7,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.7.arch_no_13.trial_no_0.pth
56,1603583765-067812,55,7,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.7.arch_no_14.trial_no_0.pth
57,1603583765-067812,55,8,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.8.arch_no_15.trial_no_0.pth
58,1603583765-067812,55,8,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.8.arch_no_16.trial_no_0.pth
59,1603583765-067812,55,8,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.8.arch_no_17.trial_no_0.pth
60,1603583765-067812,55,9,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.9.arch_no_18.trial_no_0.pth
61,1603583765-067812,55,9,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.9.arch_no_19.trial_no_0.pth
62,1603583765-067812,55,9,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,D:\data\cameramen\25-10-2020\1603583765-067812\train,/content/my_data/1603583765-067812.55.9.arch_no_20.trial_no_0.pth
63,1603672968-148557,85,3,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.3.arch_no_0.trial_no_0.pth
64,1603672968-148557,85,3,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.3.arch_no_1.trial_no_0.pth
65,1603672968-148557,85,3,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.3.arch_no_2.trial_no_0.pth
66,1603672968-148557,85,4,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.4.arch_no_3.trial_no_0.pth
67,1603672968-148557,85,4,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.4.arch_no_4.trial_no_0.pth
68,1603672968-148557,85,4,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.4.arch_no_5.trial_no_0.pth
69,1603672968-148557,85,5,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.5.arch_no_6.trial_no_0.pth
70,1603672968-148557,85,5,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.5.arch_no_7.trial_no_0.pth
71,1603672968-148557,85,5,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.5.arch_no_8.trial_no_0.pth
72,1603672968-148557,85,6,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.6.arch_no_9.trial_no_0.pth
73,1603672968-148557,85,6,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.6.arch_no_10.trial_no_0.pth
74,1603672968-148557,85,6,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.6.arch_no_11.trial_no_0.pth
75,1603672968-148557,85,7,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,26-10-2020,D:\data\cameramen\26-10-2020\1603672968-148557\train,/content/my_data/1603672968-148557.85.7.arch_no_12.trial_no_0.pth
