,timestamp,hf,hl,seed,gpu,image_name,heigth,width,cropped_heigth,cropped_width,is_cropped,lr,epochs,date,root_path,path
38,1603557121-338703,55,12,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,24-10-2020,/home/chiarlo/siren-project/results/cameramen/24-10-2020/1603557121-338703/train,/home/chiarlo/siren-project/results/cameramen/24-10-2020/1603557121-338703/train/arch_no_8/trial_no_0/checkpoints/model_final.pth
39,1603557121-338703,55,13,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,24-10-2020,/home/chiarlo/siren-project/results/cameramen/24-10-2020/1603557121-338703/train,/home/chiarlo/siren-project/results/cameramen/24-10-2020/1603557121-338703/train/arch_no_9/trial_no_0/checkpoints/model_final.pth
40,1603557121-338703,55,13,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,24-10-2020,/home/chiarlo/siren-project/results/cameramen/24-10-2020/1603557121-338703/train,/home/chiarlo/siren-project/results/cameramen/24-10-2020/1603557121-338703/train/arch_no_10/trial_no_0/checkpoints/model_final.pth
41,1603557121-338703,55,13,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,24-10-2020,/home/chiarlo/siren-project/results/cameramen/24-10-2020/1603557121-338703/train,/home/chiarlo/siren-project/results/cameramen/24-10-2020/1603557121-338703/train/arch_no_11/trial_no_0/checkpoints/model_final.pth
42,1603583765-067812,55,3,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_0/trial_no_0/checkpoints/model_final.pth
43,1603583765-067812,55,3,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_1/trial_no_0/checkpoints/model_final.pth
44,1603583765-067812,55,3,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_2/trial_no_0/checkpoints/model_final.pth
45,1603583765-067812,55,4,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_3/trial_no_0/checkpoints/model_final.pth
46,1603583765-067812,55,4,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_4/trial_no_0/checkpoints/model_final.pth
47,1603583765-067812,55,4,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_5/trial_no_0/checkpoints/model_final.pth
48,1603583765-067812,55,5,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_6/trial_no_0/checkpoints/model_final.pth
49,1603583765-067812,55,5,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_7/trial_no_0/checkpoints/model_final.pth
50,1603583765-067812,55,5,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_8/trial_no_0/checkpoints/model_final.pth
51,1603583765-067812,55,6,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_9/trial_no_0/checkpoints/model_final.pth
52,1603583765-067812,55,6,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_10/trial_no_0/checkpoints/model_final.pth
53,1603583765-067812,55,6,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_11/trial_no_0/checkpoints/model_final.pth
54,1603583765-067812,55,7,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_12/trial_no_0/checkpoints/model_final.pth
55,1603583765-067812,55,7,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_13/trial_no_0/checkpoints/model_final.pth
56,1603583765-067812,55,7,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_14/trial_no_0/checkpoints/model_final.pth
57,1603583765-067812,55,8,0,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_15/trial_no_0/checkpoints/model_final.pth
58,1603583765-067812,55,8,42,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_16/trial_no_0/checkpoints/model_final.pth
59,1603583765-067812,55,8,123,True,cameramen,512,512,256.0,256.0,True,0.0001,100000,25-10-2020,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train,/home/chiarlo/siren-project/results/cameramen/25-10-2020/1603583765-067812/train/arch_no_17/trial_no_0/checkpoints/model_final.pth
