,date,init-from,size(byte),footprint(%),psnr,bpp,CR,mse,ssim,cmprss-class,cmprss-class-2
1603583765-067812,1603583765-067812,-,74804.0,100.0,47.478825670150954,9.13134765625,0.42444254317950914,7.290017674677074e-05,0.9937598661591382,Baseline:hf=55:hl=6,BASELINE
1603583765-067812,1603583765-067812,-,74804.0,100.0,46.500677713568514,9.13134765625,0.42444254317950914,9.193028381559998e-05,0.993498442235298,Baseline:hf=55:hl=6,BASELINE
1603583765-067812,1603583765-067812,-,87124.0,100.0,44.613240175382536,10.63525390625,0.36442312106882147,0.00016125258116517216,0.9937619918082142,Baseline:hf=55:hl=7,BASELINE
1603583765-067812,1603583765-067812,-,87124.0,100.0,46.197413133226405,10.63525390625,0.36442312106882147,6.445220788009465e-05,0.9943844112619025,Baseline:hf=55:hl=7,BASELINE
1603583765-067812,1603583765-067812,-,87124.0,100.0,48.35464939506767,10.63525390625,0.36442312106882147,6.595130253117532e-05,0.9949798355261061,Baseline:hf=55:hl=7,BASELINE
1603583765-067812,1603583765-067812,-,99444.0,100.0,48.07619452638514,12.13916015625,0.31927516994489363,5.3331088565755635e-05,0.9954095502646945,Baseline:hf=55:hl=8,BASELINE
1603583765-067812,1603583765-067812,-,99444.0,100.0,49.456710842265366,12.13916015625,0.31927516994489363,5.1298724429216236e-05,0.995665327311461,Baseline:hf=55:hl=8,BASELINE
1603583765-067812,1603583765-067812,-,99444.0,100.0,50.38484682324797,12.13916015625,0.31927516994489363,4.0933511627372354e-05,0.9962497072766803,Baseline:hf=55:hl=8,BASELINE
1603583765-067812,1603583765-067812,-,111764.0,100.0,48.01957698064519,13.64306640625,0.2840807415625783,5.431521276477724e-05,0.996086763246331,Baseline:hf=55:hl=9,BASELINE
1603583765-067812,1603583765-067812,-,111764.0,100.0,50.573362907724615,13.64306640625,0.2840807415625783,4.142842226428911e-05,0.9964495103833735,Baseline:hf=55:hl=9,BASELINE
