,mse,psnr,ssim,quality,size_byte,bpp,width,heigth,CR,image_name,cmprss-class,cmprss-class-2,cmprss-class-3,prune_techs,prune_rate,quant_tech,nbits,msr,height
10,,35.14576214471631,0.9558657634651886,30,5006.0,0.611083984375,256,,6.342389133040352,"{'input_image': None, 'output_dir': './out/datasets/script_tool', 'image_name': 'cameramen', 'timestamp': 1614419893.2556033, 'out_dir_ts': './out/datasets/script_tool/cameramen/out_1614419893.2556033', 'logs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/logs', 'images_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/images', 'configs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/configs', 'csv_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/out_csv', 'images_list': ['./out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_256h_256w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_256h_256w.png'], 'script_stats': {'no_images': 4}}",Jpeg:30.00,Jpeg,Jpeg,Jpeg,,Jpeg,32,19.884017944335938,256
11,,35.31318517278049,0.9574445980914915,31,5082.0,0.620361328125,256,,6.247540338449429,"{'input_image': None, 'output_dir': './out/datasets/script_tool', 'image_name': 'cameramen', 'timestamp': 1614419893.2556033, 'out_dir_ts': './out/datasets/script_tool/cameramen/out_1614419893.2556033', 'logs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/logs', 'images_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/images', 'configs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/configs', 'csv_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/out_csv', 'images_list': ['./out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_256h_256w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_256h_256w.png'], 'script_stats': {'no_images': 4}}",Jpeg:31.00,Jpeg,Jpeg,Jpeg,,Jpeg,32,19.132064819335938,256
12,,35.42248904000889,0.9567374771199719,32,5167.0,0.6307373046875,256,,6.144764853880395,"{'input_image': None, 'output_dir': './out/datasets/script_tool', 'image_name': 'cameramen', 'timestamp': 1614419893.2556033, 'out_dir_ts': './out/datasets/script_tool/cameramen/out_1614419893.2556033', 'logs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/logs', 'images_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/images', 'configs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/configs', 'csv_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/out_csv', 'images_list': ['./out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_256h_256w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_256h_256w.png'], 'script_stats': {'no_images': 4}}",Jpeg:32.00,Jpeg,Jpeg,Jpeg,,Jpeg,32,18.65655517578125,256
13,,35.62773848164055,0.9598089091709139,33,5254.0,0.641357421875,256,,6.043014845831747,"{'input_image': None, 'output_dir': './out/datasets/script_tool', 'image_name': 'cameramen', 'timestamp': 1614419893.2556033, 'out_dir_ts': './out/datasets/script_tool/cameramen/out_1614419893.2556033', 'logs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/logs', 'images_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/images', 'configs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/configs', 'csv_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/out_csv', 'images_list': ['./out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_256h_256w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_256h_256w.png'], 'script_stats': {'no_images': 4}}",Jpeg:33.00,Jpeg,Jpeg,Jpeg,,Jpeg,32,17.79534912109375,256
14,,35.72938966977935,0.9603969597645604,34,5314.0,0.648681640625,256,,5.974783590515619,"{'input_image': None, 'output_dir': './out/datasets/script_tool', 'image_name': 'cameramen', 'timestamp': 1614419893.2556033, 'out_dir_ts': './out/datasets/script_tool/cameramen/out_1614419893.2556033', 'logs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/logs', 'images_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/images', 'configs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/configs', 'csv_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/out_csv', 'images_list': ['./out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_256h_256w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_256h_256w.png'], 'script_stats': {'no_images': 4}}",Jpeg:34.00,Jpeg,Jpeg,Jpeg,,Jpeg,32,17.3836669921875,256
15,,35.87868441018252,0.960390540802076,35,5420.0,0.66162109375,256,,5.857933579335794,"{'input_image': None, 'output_dir': './out/datasets/script_tool', 'image_name': 'cameramen', 'timestamp': 1614419893.2556033, 'out_dir_ts': './out/datasets/script_tool/cameramen/out_1614419893.2556033', 'logs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/logs', 'images_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/images', 'configs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/configs', 'csv_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/out_csv', 'images_list': ['./out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_256h_256w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_256h_256w.png'], 'script_stats': {'no_images': 4}}",Jpeg:35.00,Jpeg,Jpeg,Jpeg,,Jpeg,32,16.796234130859375,256
16,,36.04312199429716,0.9615439832429008,36,5500.0,0.67138671875,256,,5.7727272727272725,"{'input_image': None, 'output_dir': './out/datasets/script_tool', 'image_name': 'cameramen', 'timestamp': 1614419893.2556033, 'out_dir_ts': './out/datasets/script_tool/cameramen/out_1614419893.2556033', 'logs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/logs', 'images_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/images', 'configs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/configs', 'csv_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/out_csv', 'images_list': ['./out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_256h_256w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_256h_256w.png'], 'script_stats': {'no_images': 4}}",Jpeg:36.00,Jpeg,Jpeg,Jpeg,,Jpeg,32,16.172164916992188,256
17,,36.131291178746146,0.9620603547279408,37,5536.0,0.67578125,256,,5.735187861271676,"{'input_image': None, 'output_dir': './out/datasets/script_tool', 'image_name': 'cameramen', 'timestamp': 1614419893.2556033, 'out_dir_ts': './out/datasets/script_tool/cameramen/out_1614419893.2556033', 'logs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/logs', 'images_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/images', 'configs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/configs', 'csv_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/out_csv', 'images_list': ['./out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_256h_256w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_256h_256w.png'], 'script_stats': {'no_images': 4}}",Jpeg:37.00,Jpeg,Jpeg,Jpeg,,Jpeg,32,15.847152709960938,256
18,,36.29735781913751,0.963175241441243,38,5647.0,0.6893310546875,256,,5.622454400566673,"{'input_image': None, 'output_dir': './out/datasets/script_tool', 'image_name': 'cameramen', 'timestamp': 1614419893.2556033, 'out_dir_ts': './out/datasets/script_tool/cameramen/out_1614419893.2556033', 'logs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/logs', 'images_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/images', 'configs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/configs', 'csv_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/out_csv', 'images_list': ['./out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_256h_256w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_256h_256w.png'], 'script_stats': {'no_images': 4}}",Jpeg:38.00,Jpeg,Jpeg,Jpeg,,Jpeg,32,15.25262451171875,256
19,,36.41232811933126,0.9642871036021851,39,5712.0,0.697265625,256,,5.5584733893557425,"{'input_image': None, 'output_dir': './out/datasets/script_tool', 'image_name': 'cameramen', 'timestamp': 1614419893.2556033, 'out_dir_ts': './out/datasets/script_tool/cameramen/out_1614419893.2556033', 'logs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/logs', 'images_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/images', 'configs_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/configs', 'csv_dir': './out/datasets/script_tool/cameramen/out_1614419893.2556033/out_csv', 'images_list': ['./out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_512h_512w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/cameramen_256h_256w.png', './out/datasets/script_tool/cameramen/out_1614419893.2556033/images/hist_cameramen_256h_256w.png'], 'script_stats': {'no_images': 4}}",Jpeg:39.00,Jpeg,Jpeg,Jpeg,,Jpeg,32,14.854141235351562,256
