,mse,psnr,ssim,quality,size_byte,bpp,width,height,CR,image_name,cmprss-class,cmprss-class-2,cmprss-class-3,prune_techs,prune_rate,quant_tech,nbits
0,30.618301391601562,33.270992671482716,0.9394240300031549,20,4133.0,0.5045166015625,256,256,7.6820711347689326,cameramen,Jpeg:20.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
1,28.949783325195312,33.51435043271612,0.9404362225870709,21,4246.0,0.518310546875,256,256,7.477626000942063,cameramen,Jpeg:21.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
2,27.8399658203125,33.68411663121152,0.9416199051391356,22,4342.0,0.530029296875,256,256,7.31229847996315,cameramen,Jpeg:22.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
3,26.316680908203125,33.92849246220371,0.9447858258341444,23,4426.0,0.540283203125,256,256,7.1735201084500675,cameramen,Jpeg:23.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
4,25.208343505859375,34.1153605267266,0.9468166133259884,24,4500.0,0.54931640625,256,256,7.055555555555555,cameramen,Jpeg:24.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
5,24.236190795898438,34.28615998109613,0.9482341529653597,25,4593.0,0.5606689453125,256,256,6.912693228826475,cameramen,Jpeg:25.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
6,23.248626708984375,34.466830565591316,0.9497102164335106,26,4680.0,0.5712890625,256,256,6.784188034188034,cameramen,Jpeg:26.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
7,22.405685424804688,34.62722126671194,0.9515427846711728,27,4762.0,0.581298828125,256,256,6.667366652666947,cameramen,Jpeg:27.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
8,21.333770751953125,34.840127369218735,0.9535693006333371,28,4861.0,0.5933837890625,256,256,6.531577864636906,cameramen,Jpeg:28.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
9,20.660537719726562,34.979387404088456,0.9545413060669561,29,4910.0,0.599365234375,256,256,6.4663951120162935,cameramen,Jpeg:29.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
10,19.884017944335938,35.14576214471631,0.9558657634651886,30,5006.0,0.611083984375,256,256,6.342389133040352,cameramen,Jpeg:30.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
11,19.132064819335938,35.31318517278049,0.9574445980914915,31,5082.0,0.620361328125,256,256,6.247540338449429,cameramen,Jpeg:31.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
12,18.65655517578125,35.42248904000889,0.9567374771199719,32,5167.0,0.6307373046875,256,256,6.144764853880395,cameramen,Jpeg:32.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
13,17.79534912109375,35.62773848164055,0.9598089091709139,33,5254.0,0.641357421875,256,256,6.043014845831747,cameramen,Jpeg:33.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
14,17.3836669921875,35.72938966977935,0.9603969597645604,34,5314.0,0.648681640625,256,256,5.974783590515619,cameramen,Jpeg:34.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
15,16.796234130859375,35.87868441018252,0.960390540802076,35,5420.0,0.66162109375,256,256,5.857933579335794,cameramen,Jpeg:35.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
16,16.172164916992188,36.04312199429716,0.9615439832429008,36,5500.0,0.67138671875,256,256,5.7727272727272725,cameramen,Jpeg:36.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
17,15.847152709960938,36.131291178746146,0.9620603547279408,37,5536.0,0.67578125,256,256,5.735187861271676,cameramen,Jpeg:37.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
18,15.25262451171875,36.29735781913751,0.963175241441243,38,5647.0,0.6893310546875,256,256,5.622454400566673,cameramen,Jpeg:38.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
19,14.854141235351562,36.41232811933126,0.9642871036021851,39,5712.0,0.697265625,256,256,5.5584733893557425,cameramen,Jpeg:39.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
20,14.622940063476562,36.48045660956416,0.9646365678826612,40,5739.0,0.7005615234375,256,256,5.532322704303886,cameramen,Jpeg:40.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
21,14.02337646484375,36.66227767814824,0.9658701566201835,41,5856.0,0.71484375,256,256,5.421789617486339,cameramen,Jpeg:41.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
22,13.829513549804688,36.72273456705893,0.9663925888614385,42,5897.0,0.7198486328125,256,256,5.384093606918772,cameramen,Jpeg:42.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
23,13.46441650390625,36.83892823367283,0.9669243771769712,43,5948.0,0.72607421875,256,256,5.337928715534633,cameramen,Jpeg:43.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
24,13.0810546875,36.964375995634946,0.9675635570494495,44,6054.0,0.739013671875,256,256,5.244466468450611,cameramen,Jpeg:44.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
25,12.856719970703125,37.03950176130328,0.9680011412622659,45,6115.0,0.7464599609375,256,256,5.192150449713819,cameramen,Jpeg:45.00,Jpeg,Jpeg,Jpeg,,Jpeg,32
